close,date
324.8699951171875,2020-01-02
322.4100036621094,2020-01-03
323.6400146484375,2020-01-06
322.7300109863281,2020-01-07
324.45001220703125,2020-01-08
326.6499938964844,2020-01-09
325.7099914550781,2020-01-10
327.95001220703125,2020-01-13
327.45001220703125,2020-01-14
328.19000244140625,2020-01-15
330.9200134277344,2020-01-16
331.95001220703125,2020-01-17
331.29998779296875,2020-01-21
331.3399963378906,2020-01-22
331.7200012207031,2020-01-23
328.7699890136719,2020-01-24
323.5,2020-01-27
326.8900146484375,2020-01-28
326.6199951171875,2020-01-29
327.67999267578125,2020-01-30
321.7300109863281,2020-01-31
324.1199951171875,2020-02-03
329.05999755859375,2020-02-04
332.8599853515625,2020-02-05
333.9800109863281,2020-02-06
332.20001220703125,2020-02-07
334.67999267578125,2020-02-10
335.260009765625,2020-02-11
337.4200134277344,2020-02-12
337.05999755859375,2020-02-13
337.6000061035156,2020-02-14
336.7300109863281,2020-02-18
338.3399963378906,2020-02-19
336.95001220703125,2020-02-20
333.4800109863281,2020-02-21
322.4200134277344,2020-02-24
312.6499938964844,2020-02-25
311.5,2020-02-26
297.510009765625,2020-02-27
296.260009765625,2020-02-28
309.0899963378906,2020-03-02
300.239990234375,2020-03-03
312.8599853515625,2020-03-04
302.4599914550781,2020-03-05
297.4599914550781,2020-03-06
274.2300109863281,2020-03-09
288.4200134277344,2020-03-10
274.3599853515625,2020-03-11
248.11000061035156,2020-03-12
269.32000732421875,2020-03-13
239.8500061035156,2020-03-16
252.8000030517578,2020-03-17
240.0,2020-03-18
240.5099945068359,2020-03-19
228.8000030517578,2020-03-20
222.9499969482422,2020-03-23
243.1499938964844,2020-03-24
246.7899932861328,2020-03-25
261.20001220703125,2020-03-26
253.4199981689453,2020-03-27
261.6499938964844,2020-03-30
257.75,2020-03-31
246.1499938964844,2020-04-01
251.8300018310547,2020-04-02
248.19000244140625,2020-04-03
264.8599853515625,2020-04-06
265.1300048828125,2020-04-07
274.0299987792969,2020-04-08
278.20001220703125,2020-04-09
275.6600036621094,2020-04-13
283.7900085449219,2020-04-14
277.760009765625,2020-04-15
279.1000061035156,2020-04-16
286.6400146484375,2020-04-17
281.5899963378906,2020-04-20
273.0400085449219,2020-04-21
279.1000061035156,2020-04-22
279.0799865722656,2020-04-23
282.9700012207031,2020-04-24
287.04998779296875,2020-04-27
285.7300109863281,2020-04-28
293.2099914550781,2020-04-29
290.4800109863281,2020-04-30
282.7900085449219,2020-05-01
283.57000732421875,2020-05-04
286.19000244140625,2020-05-05
284.25,2020-05-06
287.67999267578125,2020-05-07
292.44000244140625,2020-05-08
292.5,2020-05-11
286.6700134277344,2020-05-12
281.6000061035156,2020-05-13
284.9700012207031,2020-05-14
286.2799987792969,2020-05-15
295.0,2020-05-18
291.9700012207031,2020-05-19
296.92999267578125,2020-05-20
294.8800048828125,2020-05-21
295.44000244140625,2020-05-22
299.0799865722656,2020-05-26
303.5299987792969,2020-05-27
302.9700012207031,2020-05-28
304.32000732421875,2020-05-29
305.54998779296875,2020-06-01
308.0799865722656,2020-06-02
312.17999267578125,2020-06-03
311.3599853515625,2020-06-04
319.3399963378906,2020-06-05
323.20001220703125,2020-06-08
320.7900085449219,2020-06-09
319.0,2020-06-10
300.6099853515625,2020-06-11
304.2099914550781,2020-06-12
307.04998779296875,2020-06-15
312.9599914550781,2020-06-16
311.6600036621094,2020-06-17
311.7799987792969,2020-06-18
308.6400146484375,2020-06-19
310.6199951171875,2020-06-22
312.04998779296875,2020-06-23
304.0899963378906,2020-06-24
307.3500061035156,2020-06-25
